code,system
G13..00,readv2
G13y.00,readv2
G130.00,readv2
G13z.00,readv2
G131.00,readv2
G132.00,readv2
G133.11,readv2
G131.13,readv2
G132.12,readv2
G133.00,readv2
G131.14,readv2
G132.13,readv2
G133.12,readv2
G544.00,readv2
Gyu5D00,readv2
G544000,readv2
G544100,readv2
G544200,readv2
G544X00,readv2
10078.0,med
100910.0,med
11878.0,med
17596.0,med
18475.0,med
19699.0,med
29158.0,med
31727.0,med
31759.0,med
33262.0,med
33907.0,med
40239.0,med
40582.0,med
49355.0,med
57338.0,med
61250.0,med
70698.0,med
8274.0,med
94872.0,med
